postal_code,Years,useful,funny,cool,Price,stars_1,stars_2,stars_3,stars_4,stars_5,stars,reviews_perc,prev_stars,stars_perc,Perc_Change_tminus1,Per_Change_t,Perc_Change_tplus1
15143,2010,0.666666667,0.083333333,0.25,1.5,0.166666667,0.083333333,0.083333333,0.25,0.416666667,3.666666667,0.001912351,4.3125,-0.149758454,0,0,0.008333333
15143,2011,1.55,0.4,0.6,1.714285714,0.05,0.075,0.2,0.4,0.275,3.775,0.003427886,3.666666667,0.029545455,0,0.008333333,0.008264463
15143,2012,0.931506849,0.178082192,0.232876712,1.725,0.178082192,0.109589041,0.123287671,0.232876712,0.356164384,3.479452055,0.004366551,3.775,-0.078290846,0.008333333,0.008264463,0.045081967
15143,2013,1.170212766,0.170212766,0.29787234,1.714285714,0.223404255,0.223404255,0.159574468,0.20212766,0.191489362,2.914893617,0.004466407,3.479452055,-0.162254984,0.008264463,0.045081967,0.043137255
15143,2014,0.764227642,0.170731707,0.333333333,1.790697674,0.138211382,0.081300813,0.113821138,0.211382114,0.455284553,3.764227642,0.004268906,2.914893617,0.291377366,0.045081967,0.043137255,0.037593985
15143,2015,0.450592885,0.126482213,0.154150198,1.86440678,0.173913043,0.067193676,0.114624506,0.197628458,0.446640316,3.675889328,0.00650185,3.764227642,-0.023467846,0.043137255,0.037593985,0.057971014
15143,2016,0.336805556,0.059027778,0.190972222,1.769230769,0.121527778,0.100694444,0.072916667,0.201388889,0.503472222,3.864583333,0.006550814,3.675889328,0.051332885,0.037593985,0.057971014,0.030821918
15143,2017,0.086956522,0.043478261,0.086956522,1.714285714,0.043478261,0,0.173913043,0.173913043,0.608695652,4.304347826,0.009207366,3.864583333,0.113793508,0.057971014,0.030821918,-1
15144,2007,2,0,1,2,0,0,0,0,1,5,0.001179245,,0.161616162,0.051724138,0.090163934,-0.022556391
15144,2008,0,0,0,2,0,0,0,0,1,5,0.000530504,5,0,0.090163934,-0.022556391,-0.030769231
15144,2009,1,0.333333333,0.666666667,2,0,0,0,0,1,5,0.000829417,5,0,-0.022556391,-0.030769231,0.007936508
15144,2010,0.666666667,0,0.666666667,2,0,0,0,0,1,5,0.000478088,5,0,-0.030769231,0.007936508,0.007874016
